subject,contest,round,scenario,agent,prob,strength,effort
01peesrn9r6a,1,1,"F,L;F,L",1,NA,4,NA
01peesrn9r6a,1,1,"F,L;F,L",2,NA,5,85
01peesrn9r6a,1,2,"F,L;F,L",1,25,4,NA
01peesrn9r6a,1,2,"F,L;F,L",2,85,6,90
01peesrn9r6a,1,3,"F,L;F,L",1,98,4,50
01peesrn9r6a,1,3,"F,L;F,L",2,98,6,50
01peesrn9r6a,2,1,"F,F;F,F",1,NA,4,NA
01peesrn9r6a,2,1,"F,F;F,F",2,NA,4,NA
01peesrn9r6a,2,2,"F,F;F,F",1,50,4,NA
01peesrn9r6a,2,2,"F,F;F,F",2,50,4,NA
01peesrn9r6a,2,3,"F,F;F,F",1,99,1,NA
01peesrn9r6a,2,3,"F,F;F,F",2,99,1,NA
01peesrn9r6a,3,1,"L,L;L,L",1,NA,5,80
01peesrn9r6a,3,1,"L,L;L,L",2,NA,5,80
01peesrn9r6a,3,2,"L,L;L,L",1,80,6,80
01peesrn9r6a,3,2,"L,L;L,L",2,80,6,80
01peesrn9r6a,3,3,"L,L;L,L",1,98,6,50
01peesrn9r6a,3,3,"L,L;L,L",2,98,6,50
01peesrn9r6a,4,1,"F,L;L,L",1,NA,4,NA
01peesrn9r6a,4,1,"F,L;L,L",2,NA,6,80
01peesrn9r6a,4,2,"F,L;L,L",1,45,6,80
01peesrn9r6a,4,2,"F,L;L,L",2,55,7,85
01peesrn9r6a,4,3,"F,L;L,L",1,90,6,50
01peesrn9r6a,4,3,"F,L;L,L",2,90,7,50
01peesrn9r6a,5,1,"F,F;F,L",1,NA,3,NA
01peesrn9r6a,5,1,"F,F;F,L",2,NA,4,NA
01peesrn9r6a,5,2,"F,F;F,L",1,45,4,NA
01peesrn9r6a,5,2,"F,F;F,L",2,45,6,85
01peesrn9r6a,5,3,"F,F;F,L",1,75,4,NA
01peesrn9r6a,5,3,"F,F;F,L",2,75,5,NA
01peesrn9r6a,6,1,"F,F;L,L",1,NA,3,NA
01peesrn9r6a,6,1,"F,F;L,L",2,NA,2,NA
01peesrn9r6a,6,2,"F,F;L,L",1,40,6,85
01peesrn9r6a,6,2,"F,F;L,L",2,35,6,85
01peesrn9r6a,6,3,"F,F;L,L",1,90,6,50
01peesrn9r6a,6,3,"F,F;L,L",2,90,6,50
04r76uv3op0r,1,1,"F,F;F,L",1,NA,5,NA
04r76uv3op0r,1,1,"F,F;F,L",2,NA,5,NA
04r76uv3op0r,1,2,"F,F;F,L",1,30,5,NA
04r76uv3op0r,1,2,"F,F;F,L",2,30,5,5
04r76uv3op0r,1,3,"F,F;F,L",1,50,2,NA
04r76uv3op0r,1,3,"F,F;F,L",2,50,5,NA
04r76uv3op0r,2,1,"F,F;L,L",1,NA,5,NA
04r76uv3op0r,2,1,"F,F;L,L",2,NA,5,NA
04r76uv3op0r,2,2,"F,F;L,L",1,45,5,50
04r76uv3op0r,2,2,"F,F;L,L",2,55,5,50
04r76uv3op0r,2,3,"F,F;L,L",1,90,5,50
04r76uv3op0r,2,3,"F,F;L,L",2,90,5,50
04r76uv3op0r,3,1,"F,F;F,F",1,NA,3,NA
04r76uv3op0r,3,1,"F,F;F,F",2,NA,5,NA
04r76uv3op0r,3,2,"F,F;F,F",1,30,4,NA
04r76uv3op0r,3,2,"F,F;F,F",2,50,4,NA
04r76uv3op0r,3,3,"F,F;F,F",1,20,4,NA
04r76uv3op0r,3,3,"F,F;F,F",2,20,4,NA
04r76uv3op0r,4,1,"L,L;L,L",1,NA,7,50
04r76uv3op0r,4,1,"L,L;L,L",2,NA,7,50
04r76uv3op0r,4,2,"L,L;L,L",1,85,8,50
04r76uv3op0r,4,2,"L,L;L,L",2,85,8,50
04r76uv3op0r,4,3,"L,L;L,L",1,100,8,50
04r76uv3op0r,4,3,"L,L;L,L",2,100,8,50
04r76uv3op0r,5,1,"F,L;F,L",1,NA,2,NA
04r76uv3op0r,5,1,"F,L;F,L",2,NA,5,30
04r76uv3op0r,5,2,"F,L;F,L",1,25,3,NA
04r76uv3op0r,5,2,"F,L;F,L",2,65,7,45
04r76uv3op0r,5,3,"F,L;F,L",1,10,4,70
04r76uv3op0r,5,3,"F,L;F,L",2,10,8,50
04r76uv3op0r,6,1,"F,L;L,L",1,NA,4,NA
04r76uv3op0r,6,1,"F,L;L,L",2,NA,5,35
04r76uv3op0r,6,2,"F,L;L,L",1,35,6,65
04r76uv3op0r,6,2,"F,L;L,L",2,90,7,45
04r76uv3op0r,6,3,"F,L;L,L",1,100,5,65
04r76uv3op0r,6,3,"F,L;L,L",2,100,8,40
0s4t8h8zv7dv,1,1,"F,F;F,F",1,NA,3,NA
0s4t8h8zv7dv,1,1,"F,F;F,F",2,NA,5,NA
0s4t8h8zv7dv,1,2,"F,F;F,F",1,30,2,NA
0s4t8h8zv7dv,1,2,"F,F;F,F",2,50,4,NA
0s4t8h8zv7dv,1,3,"F,F;F,F",1,75,1,NA
0s4t8h8zv7dv,1,3,"F,F;F,F",2,75,3,NA
0s4t8h8zv7dv,2,1,"F,L;F,L",1,NA,3,NA
0s4t8h8zv7dv,2,1,"F,L;F,L",2,NA,7,30
0s4t8h8zv7dv,2,2,"F,L;F,L",1,50,2,NA
0s4t8h8zv7dv,2,2,"F,L;F,L",2,80,8,90
0s4t8h8zv7dv,2,3,"F,L;F,L",1,95,2,50
0s4t8h8zv7dv,2,3,"F,L;F,L",2,95,8,90
0s4t8h8zv7dv,3,1,"F,F;L,L",1,NA,4,NA
0s4t8h8zv7dv,3,1,"F,F;L,L",2,NA,6,NA
0s4t8h8zv7dv,3,2,"F,F;L,L",1,40,6,60
0s4t8h8zv7dv,3,2,"F,F;L,L",2,60,7,70
0s4t8h8zv7dv,3,3,"F,F;L,L",1,100,6,80
0s4t8h8zv7dv,3,3,"F,F;L,L",2,100,7,70
0s4t8h8zv7dv,4,1,"F,L;L,L",1,NA,4,NA
0s4t8h8zv7dv,4,1,"F,L;L,L",2,NA,7,80
0s4t8h8zv7dv,4,2,"F,L;L,L",1,60,6,90
0s4t8h8zv7dv,4,2,"F,L;L,L",2,90,8,70
0s4t8h8zv7dv,4,3,"F,L;L,L",1,95,7,80
0s4t8h8zv7dv,4,3,"F,L;L,L",2,95,9,60
0s4t8h8zv7dv,5,1,"L,L;L,L",1,NA,7,80
0s4t8h8zv7dv,5,1,"L,L;L,L",2,NA,7,80
0s4t8h8zv7dv,5,2,"L,L;L,L",1,90,8,70
0s4t8h8zv7dv,5,2,"L,L;L,L",2,90,8,70
0s4t8h8zv7dv,5,3,"L,L;L,L",1,100,7,70
0s4t8h8zv7dv,5,3,"L,L;L,L",2,100,8,60
0s4t8h8zv7dv,6,1,"F,F;F,L",1,NA,5,NA
0s4t8h8zv7dv,6,1,"F,F;F,L",2,NA,5,NA
0s4t8h8zv7dv,6,2,"F,F;F,L",1,70,4,NA
0s4t8h8zv7dv,6,2,"F,F;F,L",2,60,7,80
0s4t8h8zv7dv,6,3,"F,F;F,L",1,60,3,NA
0s4t8h8zv7dv,6,3,"F,F;F,L",2,60,4,NA
0w8e158xe58k,1,1,"F,L;F,L",1,NA,3,NA
0w8e158xe58k,1,1,"F,L;F,L",2,NA,7,60
0w8e158xe58k,1,2,"F,L;F,L",1,30,3,NA
0w8e158xe58k,1,2,"F,L;F,L",2,80,7,70
0w8e158xe58k,1,3,"F,L;F,L",1,70,3,80
0w8e158xe58k,1,3,"F,L;F,L",2,70,7,70
0w8e158xe58k,2,1,"F,F;F,F",1,NA,3,NA
0w8e158xe58k,2,1,"F,F;F,F",2,NA,3,NA
0w8e158xe58k,2,2,"F,F;F,F",1,30,3,NA
0w8e158xe58k,2,2,"F,F;F,F",2,30,3,NA
0w8e158xe58k,2,3,"F,F;F,F",1,0,3,NA
0w8e158xe58k,2,3,"F,F;F,F",2,0,3,NA
0w8e158xe58k,3,1,"F,F;L,L",1,NA,3,NA
0w8e158xe58k,3,1,"F,F;L,L",2,NA,3,NA
0w8e158xe58k,3,2,"F,F;L,L",1,40,7,80
0w8e158xe58k,3,2,"F,F;L,L",2,40,7,80
0w8e158xe58k,3,3,"F,F;L,L",1,90,7,80
0w8e158xe58k,3,3,"F,F;L,L",2,90,7,80
0w8e158xe58k,4,1,"F,L;L,L",1,NA,3,NA
0w8e158xe58k,4,1,"F,L;L,L",2,NA,7,80
0w8e158xe58k,4,2,"F,L;L,L",1,30,5,80
0w8e158xe58k,4,2,"F,L;L,L",2,80,8,80
0w8e158xe58k,4,3,"F,L;L,L",1,100,8,80
0w8e158xe58k,4,3,"F,L;L,L",2,100,8,80
0w8e158xe58k,5,1,"L,L;L,L",1,NA,7,70
0w8e158xe58k,5,1,"L,L;L,L",2,NA,7,70
0w8e158xe58k,5,2,"L,L;L,L",1,90,7,80
0w8e158xe58k,5,2,"L,L;L,L",2,90,7,80
0w8e158xe58k,5,3,"L,L;L,L",1,100,8,80
0w8e158xe58k,5,3,"L,L;L,L",2,100,8,80
0w8e158xe58k,6,1,"F,F;F,L",1,NA,3,NA
0w8e158xe58k,6,1,"F,F;F,L",2,NA,3,NA
0w8e158xe58k,6,2,"F,F;F,L",1,30,3,NA
0w8e158xe58k,6,2,"F,F;F,L",2,30,7,80
0w8e158xe58k,6,3,"F,F;F,L",1,30,3,NA
0w8e158xe58k,6,3,"F,F;F,L",2,30,7,NA
27wbau6g83q7,1,1,"F,L;F,L",1,NA,5,NA
27wbau6g83q7,1,1,"F,L;F,L",2,NA,10,50
27wbau6g83q7,1,2,"F,L;F,L",1,75,2,NA
27wbau6g83q7,1,2,"F,L;F,L",2,100,10,50
27wbau6g83q7,1,3,"F,L;F,L",1,80,3,70
27wbau6g83q7,1,3,"F,L;F,L",2,80,10,50
27wbau6g83q7,2,1,"F,F;L,L",1,NA,4,NA
27wbau6g83q7,2,1,"F,F;L,L",2,NA,5,NA
27wbau6g83q7,2,2,"F,F;L,L",1,40,5,100
27wbau6g83q7,2,2,"F,F;L,L",2,60,5,100
27wbau6g83q7,2,3,"F,F;L,L",1,100,5,90
27wbau6g83q7,2,3,"F,F;L,L",2,100,5,90
27wbau6g83q7,3,1,"L,L;L,L",1,NA,6,100
27wbau6g83q7,3,1,"L,L;L,L",2,NA,8,50
27wbau6g83q7,3,2,"L,L;L,L",1,100,7,60
27wbau6g83q7,3,2,"L,L;L,L",2,100,8,50
27wbau6g83q7,3,3,"L,L;L,L",1,100,8,40
27wbau6g83q7,3,3,"L,L;L,L",2,100,8,40
27wbau6g83q7,4,1,"F,F;F,L",1,NA,4,NA
27wbau6g83q7,4,1,"F,F;F,L",2,NA,3,NA
27wbau6g83q7,4,2,"F,F;F,L",1,45,3,NA
27wbau6g83q7,4,2,"F,F;F,L",2,30,5,100
27wbau6g83q7,4,3,"F,F;F,L",1,100,2,NA
27wbau6g83q7,4,3,"F,F;F,L",2,100,5,NA
27wbau6g83q7,5,1,"F,L;L,L",1,NA,1,NA
27wbau6g83q7,5,1,"F,L;L,L",2,NA,10,50
27wbau6g83q7,5,2,"F,L;L,L",1,10,4,100
27wbau6g83q7,5,2,"F,L;L,L",2,100,10,50
27wbau6g83q7,5,3,"F,L;L,L",1,100,5,100
27wbau6g83q7,5,3,"F,L;L,L",2,100,10,50
27wbau6g83q7,6,1,"F,F;F,F",1,NA,4,NA
27wbau6g83q7,6,1,"F,F;F,F",2,NA,6,NA
27wbau6g83q7,6,2,"F,F;F,F",1,100,1,NA
27wbau6g83q7,6,2,"F,F;F,F",2,50,2,NA
27wbau6g83q7,6,3,"F,F;F,F",1,10,2,NA
27wbau6g83q7,6,3,"F,F;F,F",2,10,2,NA
30xp0532kx86,1,1,"F,F;L,L",1,NA,4,NA
30xp0532kx86,1,1,"F,F;L,L",2,NA,5,NA
30xp0532kx86,1,2,"F,F;L,L",1,75,6,80
30xp0532kx86,1,2,"F,F;L,L",2,70,7,60
30xp0532kx86,1,3,"F,F;L,L",1,100,8,50
30xp0532kx86,1,3,"F,F;L,L",2,100,6,50
30xp0532kx86,2,1,"F,F;F,F",1,NA,5,NA
30xp0532kx86,2,1,"F,F;F,F",2,NA,5,NA
30xp0532kx86,2,2,"F,F;F,F",1,95,3,NA
30xp0532kx86,2,2,"F,F;F,F",2,95,4,NA
30xp0532kx86,2,3,"F,F;F,F",1,65,1,NA
30xp0532kx86,2,3,"F,F;F,F",2,65,1,NA
30xp0532kx86,3,1,"L,L;L,L",1,NA,7,36
30xp0532kx86,3,1,"L,L;L,L",2,NA,7,40
30xp0532kx86,3,2,"L,L;L,L",1,100,8,30
30xp0532kx86,3,2,"L,L;L,L",2,100,8,30
30xp0532kx86,3,3,"L,L;L,L",1,100,7,20
30xp0532kx86,3,3,"L,L;L,L",2,100,7,20
30xp0532kx86,4,1,"F,F;F,L",1,NA,3,NA
30xp0532kx86,4,1,"F,F;F,L",2,NA,3,NA
30xp0532kx86,4,2,"F,F;F,L",1,51,2,NA
30xp0532kx86,4,2,"F,F;F,L",2,49,6,40
30xp0532kx86,4,3,"F,F;F,L",1,95,1,NA
30xp0532kx86,4,3,"F,F;F,L",2,95,5,NA
30xp0532kx86,5,1,"F,L;L,L",1,NA,2,NA
30xp0532kx86,5,1,"F,L;L,L",2,NA,5,40
30xp0532kx86,5,2,"F,L;L,L",1,75,5,30
30xp0532kx86,5,2,"F,L;L,L",2,100,6,30
30xp0532kx86,5,3,"F,L;L,L",1,100,5,20
30xp0532kx86,5,3,"F,L;L,L",2,100,7,30
30xp0532kx86,6,1,"F,L;F,L",1,NA,2,NA
30xp0532kx86,6,1,"F,L;F,L",2,NA,5,40
30xp0532kx86,6,2,"F,L;F,L",1,70,2,NA
30xp0532kx86,6,2,"F,L;F,L",2,100,6,40
30xp0532kx86,6,3,"F,L;F,L",1,70,2,20
30xp0532kx86,6,3,"F,L;F,L",2,70,8,50
3re9jfcsf0r6,1,1,"F,F;F,L",1,NA,7,NA
3re9jfcsf0r6,1,1,"F,F;F,L",2,NA,5,NA
3re9jfcsf0r6,1,2,"F,F;F,L",1,75,5,NA
3re9jfcsf0r6,1,2,"F,F;F,L",2,60,7,60
3re9jfcsf0r6,1,3,"F,F;F,L",1,100,5,NA
3re9jfcsf0r6,1,3,"F,F;F,L",2,100,7,NA
3re9jfcsf0r6,2,1,"F,F;L,L",1,NA,5,NA
3re9jfcsf0r6,2,1,"F,F;L,L",2,NA,5,NA
3re9jfcsf0r6,2,2,"F,F;L,L",1,70,7,40
3re9jfcsf0r6,2,2,"F,F;L,L",2,70,7,40
3re9jfcsf0r6,2,3,"F,F;L,L",1,100,7,50
3re9jfcsf0r6,2,3,"F,F;L,L",2,100,7,50
3re9jfcsf0r6,3,1,"F,L;L,L",1,NA,5,NA
3re9jfcsf0r6,3,1,"F,L;L,L",2,NA,7,80
3re9jfcsf0r6,3,2,"F,L;L,L",1,90,7,40
3re9jfcsf0r6,3,2,"F,L;L,L",2,100,7,40
3re9jfcsf0r6,3,3,"F,L;L,L",1,100,7,50
3re9jfcsf0r6,3,3,"F,L;L,L",2,100,7,50
3re9jfcsf0r6,4,1,"F,L;F,L",1,NA,7,NA
3re9jfcsf0r6,4,1,"F,L;F,L",2,NA,7,60
3re9jfcsf0r6,4,2,"F,L;F,L",1,80,4,NA
3re9jfcsf0r6,4,2,"F,L;F,L",2,100,7,60
3re9jfcsf0r6,4,3,"F,L;F,L",1,100,4,40
3re9jfcsf0r6,4,3,"F,L;F,L",2,100,7,60
3re9jfcsf0r6,5,1,"F,F;F,F",1,NA,5,NA
3re9jfcsf0r6,5,1,"F,F;F,F",2,NA,5,NA
3re9jfcsf0r6,5,2,"F,F;F,F",1,70,3,NA
3re9jfcsf0r6,5,2,"F,F;F,F",2,70,3,NA
3re9jfcsf0r6,5,3,"F,F;F,F",1,80,3,NA
3re9jfcsf0r6,5,3,"F,F;F,F",2,80,3,NA
3re9jfcsf0r6,6,1,"L,L;L,L",1,NA,7,40
3re9jfcsf0r6,6,1,"L,L;L,L",2,NA,7,40
3re9jfcsf0r6,6,2,"L,L;L,L",1,100,7,60
3re9jfcsf0r6,6,2,"L,L;L,L",2,100,7,60
3re9jfcsf0r6,6,3,"L,L;L,L",1,100,7,50
3re9jfcsf0r6,6,3,"L,L;L,L",2,100,7,50
447we5zygs1e,1,1,"F,F;F,L",1,NA,3,NA
447we5zygs1e,1,1,"F,F;F,L",2,NA,3,NA
447we5zygs1e,1,2,"F,F;F,L",1,42,3,NA
447we5zygs1e,1,2,"F,F;F,L",2,40,5,95
447we5zygs1e,1,3,"F,F;F,L",1,70,3,NA
447we5zygs1e,1,3,"F,F;F,L",2,70,4,NA
447we5zygs1e,2,1,"F,L;L,L",1,NA,4,NA
447we5zygs1e,2,1,"F,L;L,L",2,NA,8,92
447we5zygs1e,2,2,"F,L;L,L",1,30,4,66
447we5zygs1e,2,2,"F,L;L,L",2,75,7,92
447we5zygs1e,2,3,"F,L;L,L",1,85,4,70
447we5zygs1e,2,3,"F,L;L,L",2,85,8,95
447we5zygs1e,3,1,"L,L;L,L",1,NA,5,85
447we5zygs1e,3,1,"L,L;L,L",2,NA,5,85
447we5zygs1e,3,2,"L,L;L,L",1,67,6,88
447we5zygs1e,3,2,"L,L;L,L",2,67,7,89
447we5zygs1e,3,3,"L,L;L,L",1,95,6,92
447we5zygs1e,3,3,"L,L;L,L",2,95,6,92
447we5zygs1e,4,1,"F,F;F,F",1,NA,4,NA
447we5zygs1e,4,1,"F,F;F,F",2,NA,4,NA
447we5zygs1e,4,2,"F,F;F,F",1,40,3,NA
447we5zygs1e,4,2,"F,F;F,F",2,40,4,NA
447we5zygs1e,4,3,"F,F;F,F",1,30,3,NA
447we5zygs1e,4,3,"F,F;F,F",2,30,3,NA
447we5zygs1e,5,1,"F,F;L,L",1,NA,4,NA
447we5zygs1e,5,1,"F,F;L,L",2,NA,4,NA
447we5zygs1e,5,2,"F,F;L,L",1,35,5,80
447we5zygs1e,5,2,"F,F;L,L",2,40,5,80
447we5zygs1e,5,3,"F,F;L,L",1,87,5,87
447we5zygs1e,5,3,"F,F;L,L",2,87,5,89
447we5zygs1e,6,1,"F,L;F,L",1,NA,3,NA
447we5zygs1e,6,1,"F,L;F,L",2,NA,7,90
447we5zygs1e,6,2,"F,L;F,L",1,20,3,NA
447we5zygs1e,6,2,"F,L;F,L",2,80,7,92
447we5zygs1e,6,3,"F,L;F,L",1,50,3,76
447we5zygs1e,6,3,"F,L;F,L",2,50,7,93
4q283knzudh0,1,1,"F,F;F,L",1,NA,5,NA
4q283knzudh0,1,1,"F,F;F,L",2,NA,5,NA
4q283knzudh0,1,2,"F,F;F,L",1,80,3,NA
4q283knzudh0,1,2,"F,F;F,L",2,80,5,82
4q283knzudh0,1,3,"F,F;F,L",1,100,3,NA
4q283knzudh0,1,3,"F,F;F,L",2,100,5,NA
4q283knzudh0,2,1,"F,F;F,F",1,NA,5,NA
4q283knzudh0,2,1,"F,F;F,F",2,NA,5,NA
4q283knzudh0,2,2,"F,F;F,F",1,40,2,NA
4q283knzudh0,2,2,"F,F;F,F",2,40,2,NA
4q283knzudh0,2,3,"F,F;F,F",1,55,2,NA
4q283knzudh0,2,3,"F,F;F,F",2,55,2,NA
4q283knzudh0,3,1,"L,L;L,L",1,NA,7,85
4q283knzudh0,3,1,"L,L;L,L",2,NA,5,99
4q283knzudh0,3,2,"L,L;L,L",1,80,8,75
4q283knzudh0,3,2,"L,L;L,L",2,45,7,85
4q283knzudh0,3,3,"L,L;L,L",1,100,7,75
4q283knzudh0,3,3,"L,L;L,L",2,100,7,85
4q283knzudh0,4,1,"F,L;F,L",1,NA,4,NA
4q283knzudh0,4,1,"F,L;F,L",2,NA,6,89
4q283knzudh0,4,2,"F,L;F,L",1,48,3,NA
4q283knzudh0,4,2,"F,L;F,L",2,75,8,85
4q283knzudh0,4,3,"F,L;F,L",1,87,3,87
4q283knzudh0,4,3,"F,L;F,L",2,87,7,84
4q283knzudh0,5,1,"F,F;L,L",1,NA,3,NA
4q283knzudh0,5,1,"F,F;L,L",2,NA,4,NA
4q283knzudh0,5,2,"F,F;L,L",1,45,5,90
4q283knzudh0,5,2,"F,F;L,L",2,50,5,90
4q283knzudh0,5,3,"F,F;L,L",1,98,5,80
4q283knzudh0,5,3,"F,F;L,L",2,98,5,80
4q283knzudh0,6,1,"F,L;L,L",1,NA,3,NA
4q283knzudh0,6,1,"F,L;L,L",2,NA,7,75
4q283knzudh0,6,2,"F,L;L,L",1,40,5,100
4q283knzudh0,6,2,"F,L;L,L",2,95,7,80
4q283knzudh0,6,3,"F,L;L,L",1,95,5,82
4q283knzudh0,6,3,"F,L;L,L",2,95,7,78
50fb87vc0wfe,1,1,"F,L;L,L",1,NA,5,NA
50fb87vc0wfe,1,1,"F,L;L,L",2,NA,6,90
50fb87vc0wfe,1,2,"F,L;L,L",1,65,5,80
50fb87vc0wfe,1,2,"F,L;L,L",2,95,6,60
50fb87vc0wfe,1,3,"F,L;L,L",1,90,5,80
50fb87vc0wfe,1,3,"F,L;L,L",2,90,6,60
50fb87vc0wfe,2,1,"F,F;L,L",1,NA,5,NA
50fb87vc0wfe,2,1,"F,F;L,L",2,NA,5,NA
50fb87vc0wfe,2,2,"F,F;L,L",1,60,5,80
50fb87vc0wfe,2,2,"F,F;L,L",2,60,5,80
50fb87vc0wfe,2,3,"F,F;L,L",1,95,5,80
50fb87vc0wfe,2,3,"F,F;L,L",2,95,5,80
50fb87vc0wfe,3,1,"F,F;F,F",1,NA,5,NA
50fb87vc0wfe,3,1,"F,F;F,F",2,NA,5,NA
50fb87vc0wfe,3,2,"F,F;F,F",1,65,4,NA
50fb87vc0wfe,3,2,"F,F;F,F",2,65,4,NA
50fb87vc0wfe,3,3,"F,F;F,F",1,85,4,NA
50fb87vc0wfe,3,3,"F,F;F,F",2,85,4,NA
50fb87vc0wfe,4,1,"F,L;F,L",1,NA,5,NA
50fb87vc0wfe,4,1,"F,L;F,L",2,NA,6,90
50fb87vc0wfe,4,2,"F,L;F,L",1,65,5,NA
50fb87vc0wfe,4,2,"F,L;F,L",2,95,6,60
50fb87vc0wfe,4,3,"F,L;F,L",1,75,5,70
50fb87vc0wfe,4,3,"F,L;F,L",2,75,6,60
50fb87vc0wfe,5,1,"F,F;F,L",1,NA,5,NA
50fb87vc0wfe,5,1,"F,F;F,L",2,NA,5,NA
50fb87vc0wfe,5,2,"F,F;F,L",1,65,5,NA
50fb87vc0wfe,5,2,"F,F;F,L",2,65,5,80
50fb87vc0wfe,5,3,"F,F;F,L",1,80,5,NA
50fb87vc0wfe,5,3,"F,F;F,L",2,80,5,NA
50fb87vc0wfe,6,1,"L,L;L,L",1,NA,6,90
50fb87vc0wfe,6,1,"L,L;L,L",2,NA,6,90
50fb87vc0wfe,6,2,"L,L;L,L",1,95,6,60
50fb87vc0wfe,6,2,"L,L;L,L",2,95,6,60
50fb87vc0wfe,6,3,"L,L;L,L",1,95,6,60
