"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","already","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"6304.900000095367","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb95b478bba25ad3d3813","external-html",0,6376,"0.0-0.0","Qycb9gtL+nQVUfeNstk1zrYv4SOGZFhAy2SHdLghTSBl2HgnR97AFgpaRgMN2kUCZ332PpOlmGiuT2dWEnann41gL1HmspFSNiYpNZkaSsxG/CW6cPGgKzVpBiQmnpsvniwqZAailQknevZwmqQ5yOLR0nrUsbNOwb6Qe1RdFBWrK+OTag0AUM0qfGcUeNrDs9upCxC2hv3H3gHeR6Mi1VgqtTvyzPzI3oesJ514zo3n9RotGrsCz0SCgCD4hAnFUzQoyU208hRNrkPv98AI0U+rWwlelbtOZAq395ACOn1UfRZKOCuuOkS1RKJLm2qDuQOyANAsJwqNbf7MCEtWIQ==","691f8ca61c6b4dcbb0aeb5f4","691fb95b478bba25ad3d3813","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:13:36
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb95b478bba25ad3d3813","fullscreen",1,13347,"0.0-1.0","Qycb9gtL+nQVUfeNstk1zrYv4SOGZFhAy2SHdLghTSBl2HgnR97AFgpaRgMN2kUCZ332PpOlmGiuT2dWEnann41gL1HmspFSNiYpNZkaSsxG/CW6cPGgKzVpBiQmnpsvniwqZAailQknevZwmqQ5yOLR0nrUsbNOwb6Qe1RdFBWrK+OTag0AUM0qfGcUeNrDs9upCxC2hv3H3gHeR6Mi1VgqtTvyzPzI3oesJ514zo3n9RotGrsCz0SCgCD4hAnFUzQoyU208hRNrkPv98AI0U+rWwlelbtOZAq395ACOn1UfRZKOCuuOkS1RKJLm2qDuQOyANAsJwqNbf7MCEtWIQ==","691f8ca61c6b4dcbb0aeb5f4","691fb95b478bba25ad3d3813","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:13:36
"117899.69999992847","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb95b478bba25ad3d3813","instructions",2,131247,"0.0-2.0","Qycb9gtL+nQVUfeNstk1zrYv4SOGZFhAy2SHdLghTSBl2HgnR97AFgpaRgMN2kUCZ332PpOlmGiuT2dWEnann41gL1HmspFSNiYpNZkaSsxG/CW6cPGgKzVpBiQmnpsvniwqZAailQknevZwmqQ5yOLR0nrUsbNOwb6Qe1RdFBWrK+OTag0AUM0qfGcUeNrDs9upCxC2hv3H3gHeR6Mi1VgqtTvyzPzI3oesJ514zo3n9RotGrsCz0SCgCD4hAnFUzQoyU208hRNrkPv98AI0U+rWwlelbtOZAq395ACOn1UfRZKOCuuOkS1RKJLm2qDuQOyANAsJwqNbf7MCEtWIQ==","691f8ca61c6b4dcbb0aeb5f4","691fb95b478bba25ad3d3813","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":25087.399999976158},{""page_index"":1,""viewing_time"":21444.100000023842},{""page_index"":2,""viewing_time"":12339.799999952316},{""page_index"":3,""viewing_time"":19452},{""page_index"":4,""viewing_time"":11226.5},{""page_index"":5,""viewing_time"":18285.800000071526},{""page_index"":6,""viewing_time"":10063.799999952316}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:13:36
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb95b478bba25ad3d3813","html-keyboard-response",3,132249,"0.0-3.0","Qycb9gtL+nQVUfeNstk1zrYv4SOGZFhAy2SHdLghTSBl2HgnR97AFgpaRgMN2kUCZ332PpOlmGiuT2dWEnann41gL1HmspFSNiYpNZkaSsxG/CW6cPGgKzVpBiQmnpsvniwqZAailQknevZwmqQ5yOLR0nrUsbNOwb6Qe1RdFBWrK+OTag0AUM0qfGcUeNrDs9upCxC2hv3H3gHeR6Mi1VgqtTvyzPzI3oesJ514zo3n9RotGrsCz0SCgCD4hAnFUzQoyU208hRNrkPv98AI0U+rWwlelbtOZAq395ACOn1UfRZKOCuuOkS1RKJLm2qDuQOyANAsJwqNbf7MCEtWIQ==","691f8ca61c6b4dcbb0aeb5f4","691fb95b478bba25ad3d3813","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:13:36
"35665.199999928474","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb95b478bba25ad3d3813","survey-multi-choice",4,167917,"0.0-4.0","Qycb9gtL+nQVUfeNstk1zrYv4SOGZFhAy2SHdLghTSBl2HgnR97AFgpaRgMN2kUCZ332PpOlmGiuT2dWEnann41gL1HmspFSNiYpNZkaSsxG/CW6cPGgKzVpBiQmnpsvniwqZAailQknevZwmqQ5yOLR0nrUsbNOwb6Qe1RdFBWrK+OTag0AUM0qfGcUeNrDs9upCxC2hv3H3gHeR6Mi1VgqtTvyzPzI3oesJ514zo3n9RotGrsCz0SCgCD4hAnFUzQoyU208hRNrkPv98AI0U+rWwlelbtOZAq395ACOn1UfRZKOCuuOkS1RKJLm2qDuQOyANAsJwqNbf7MCEtWIQ==","691f8ca61c6b4dcbb0aeb5f4","691fb95b478bba25ad3d3813","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:13:36
"24738.399999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb95b478bba25ad3d3813","instructions",5,192659,"0.0-305.0","Qycb9gtL+nQVUfeNstk1zrYv4SOGZFhAy2SHdLghTSBl2HgnR97AFgpaRgMN2kUCZ332PpOlmGiuT2dWEnann41gL1HmspFSNiYpNZkaSsxG/CW6cPGgKzVpBiQmnpsvniwqZAailQknevZwmqQ5yOLR0nrUsbNOwb6Qe1RdFBWrK+OTag0AUM0qfGcUeNrDs9upCxC2hv3H3gHeR6Mi1VgqtTvyzPzI3oesJ514zo3n9RotGrsCz0SCgCD4hAnFUzQoyU208hRNrkPv98AI0U+rWwlelbtOZAq395ACOn1UfRZKOCuuOkS1RKJLm2qDuQOyANAsJwqNbf7MCEtWIQ==","691f8ca61c6b4dcbb0aeb5f4","691fb95b478bba25ad3d3813","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":19410.700000047684},{""page_index"":1,""viewing_time"":5327.5}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:13:36
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb95b478bba25ad3d3813","html-keyboard-response",6,193661,"0.0-306.0","Qycb9gtL+nQVUfeNstk1zrYv4SOGZFhAy2SHdLghTSBl2HgnR97AFgpaRgMN2kUCZ332PpOlmGiuT2dWEnann41gL1HmspFSNiYpNZkaSsxG/CW6cPGgKzVpBiQmnpsvniwqZAailQknevZwmqQ5yOLR0nrUsbNOwb6Qe1RdFBWrK+OTag0AUM0qfGcUeNrDs9upCxC2hv3H3gHeR6Mi1VgqtTvyzPzI3oesJ514zo3n9RotGrsCz0SCgCD4hAnFUzQoyU208hRNrkPv98AI0U+rWwlelbtOZAq395ACOn1UfRZKOCuuOkS1RKJLm2qDuQOyANAsJwqNbf7MCEtWIQ==","691f8ca61c6b4dcbb0aeb5f4","691fb95b478bba25ad3d3813","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:13:36
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb95b478bba25ad3d3813","html-keyboard-response",7,196662,"0.0-307.0","Qycb9gtL+nQVUfeNstk1zrYv4SOGZFhAy2SHdLghTSBl2HgnR97AFgpaRgMN2kUCZ332PpOlmGiuT2dWEnann41gL1HmspFSNiYpNZkaSsxG/CW6cPGgKzVpBiQmnpsvniwqZAailQknevZwmqQ5yOLR0nrUsbNOwb6Qe1RdFBWrK+OTag0AUM0qfGcUeNrDs9upCxC2hv3H3gHeR6Mi1VgqtTvyzPzI3oesJ514zo3n9RotGrsCz0SCgCD4hAnFUzQoyU208hRNrkPv98AI0U+rWwlelbtOZAq395ACOn1UfRZKOCuuOkS1RKJLm2qDuQOyANAsJwqNbf7MCEtWIQ==","691f8ca61c6b4dcbb0aeb5f4","691fb95b478bba25ad3d3813","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:13:36
