"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","already","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"4494.79999999702","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc170bcce2eb9e29d131f","external-html",0,4710,"0.0-0.0","YlX2xc5lL70X025cEs8SbPS9OYc2z80VY1LqwAumNltUCRzK/vKx0IZyA266//lfnA8kXnenoN8N+MetH8RDLb0lRHfBbcGcp+nCv2IaWxOsb48x+1yO+bBgqcIHGBaBaM1gQm+WCJ1KbsSC7O7Vl/g7ET0m4hs/JUQvNDIyxXPasQvQLSa/DRq/KW9r3IiLjHyYtZu8b14bknyv7nF7z41f82NxAloZ2RHDVkvvjuj8R+6FI4zrL90dGyYexuKvHCyboKMBP5zjQxWfrewaAQMl/FrGCI4LGVgNynWAjs3YnDSOqa7jLsSZXgqSmiOCPdtcUpztlmVDKlJqCZhr5Q==","691f8ca61c6b4dcbb0aeb5f4","691fc170bcce2eb9e29d131f","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:54:25
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc170bcce2eb9e29d131f","fullscreen",1,7998,"0.0-1.0","YlX2xc5lL70X025cEs8SbPS9OYc2z80VY1LqwAumNltUCRzK/vKx0IZyA266//lfnA8kXnenoN8N+MetH8RDLb0lRHfBbcGcp+nCv2IaWxOsb48x+1yO+bBgqcIHGBaBaM1gQm+WCJ1KbsSC7O7Vl/g7ET0m4hs/JUQvNDIyxXPasQvQLSa/DRq/KW9r3IiLjHyYtZu8b14bknyv7nF7z41f82NxAloZ2RHDVkvvjuj8R+6FI4zrL90dGyYexuKvHCyboKMBP5zjQxWfrewaAQMl/FrGCI4LGVgNynWAjs3YnDSOqa7jLsSZXgqSmiOCPdtcUpztlmVDKlJqCZhr5Q==","691f8ca61c6b4dcbb0aeb5f4","691fc170bcce2eb9e29d131f","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:54:25
"134306.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc170bcce2eb9e29d131f","instructions",2,142306,"0.0-2.0","YlX2xc5lL70X025cEs8SbPS9OYc2z80VY1LqwAumNltUCRzK/vKx0IZyA266//lfnA8kXnenoN8N+MetH8RDLb0lRHfBbcGcp+nCv2IaWxOsb48x+1yO+bBgqcIHGBaBaM1gQm+WCJ1KbsSC7O7Vl/g7ET0m4hs/JUQvNDIyxXPasQvQLSa/DRq/KW9r3IiLjHyYtZu8b14bknyv7nF7z41f82NxAloZ2RHDVkvvjuj8R+6FI4zrL90dGyYexuKvHCyboKMBP5zjQxWfrewaAQMl/FrGCI4LGVgNynWAjs3YnDSOqa7jLsSZXgqSmiOCPdtcUpztlmVDKlJqCZhr5Q==","691f8ca61c6b4dcbb0aeb5f4","691fc170bcce2eb9e29d131f","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":38313.60000000894},{""page_index"":1,""viewing_time"":15911.79999999702},{""page_index"":2,""viewing_time"":24919.5},{""page_index"":3,""viewing_time"":24783.70000000298},{""page_index"":4,""viewing_time"":10343.89999999106},{""page_index"":5,""viewing_time"":9608.20000000298},{""page_index"":6,""viewing_time"":10424.20000000298}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:54:25
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc170bcce2eb9e29d131f","html-keyboard-response",3,143308,"0.0-3.0","YlX2xc5lL70X025cEs8SbPS9OYc2z80VY1LqwAumNltUCRzK/vKx0IZyA266//lfnA8kXnenoN8N+MetH8RDLb0lRHfBbcGcp+nCv2IaWxOsb48x+1yO+bBgqcIHGBaBaM1gQm+WCJ1KbsSC7O7Vl/g7ET0m4hs/JUQvNDIyxXPasQvQLSa/DRq/KW9r3IiLjHyYtZu8b14bknyv7nF7z41f82NxAloZ2RHDVkvvjuj8R+6FI4zrL90dGyYexuKvHCyboKMBP5zjQxWfrewaAQMl/FrGCI4LGVgNynWAjs3YnDSOqa7jLsSZXgqSmiOCPdtcUpztlmVDKlJqCZhr5Q==","691f8ca61c6b4dcbb0aeb5f4","691fc170bcce2eb9e29d131f","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:54:25
"128815.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc170bcce2eb9e29d131f","survey-multi-choice",4,272129,"0.0-4.0","YlX2xc5lL70X025cEs8SbPS9OYc2z80VY1LqwAumNltUCRzK/vKx0IZyA266//lfnA8kXnenoN8N+MetH8RDLb0lRHfBbcGcp+nCv2IaWxOsb48x+1yO+bBgqcIHGBaBaM1gQm+WCJ1KbsSC7O7Vl/g7ET0m4hs/JUQvNDIyxXPasQvQLSa/DRq/KW9r3IiLjHyYtZu8b14bknyv7nF7z41f82NxAloZ2RHDVkvvjuj8R+6FI4zrL90dGyYexuKvHCyboKMBP5zjQxWfrewaAQMl/FrGCI4LGVgNynWAjs3YnDSOqa7jLsSZXgqSmiOCPdtcUpztlmVDKlJqCZhr5Q==","691f8ca61c6b4dcbb0aeb5f4","691fc170bcce2eb9e29d131f","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:54:25
"23653.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc170bcce2eb9e29d131f","instructions",5,295791,"0.0-305.0","YlX2xc5lL70X025cEs8SbPS9OYc2z80VY1LqwAumNltUCRzK/vKx0IZyA266//lfnA8kXnenoN8N+MetH8RDLb0lRHfBbcGcp+nCv2IaWxOsb48x+1yO+bBgqcIHGBaBaM1gQm+WCJ1KbsSC7O7Vl/g7ET0m4hs/JUQvNDIyxXPasQvQLSa/DRq/KW9r3IiLjHyYtZu8b14bknyv7nF7z41f82NxAloZ2RHDVkvvjuj8R+6FI4zrL90dGyYexuKvHCyboKMBP5zjQxWfrewaAQMl/FrGCI4LGVgNynWAjs3YnDSOqa7jLsSZXgqSmiOCPdtcUpztlmVDKlJqCZhr5Q==","691f8ca61c6b4dcbb0aeb5f4","691fc170bcce2eb9e29d131f","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":12829.70000000298},{""page_index"":1,""viewing_time"":10823.70000000298}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:54:25
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc170bcce2eb9e29d131f","html-keyboard-response",6,296793,"0.0-306.0","YlX2xc5lL70X025cEs8SbPS9OYc2z80VY1LqwAumNltUCRzK/vKx0IZyA266//lfnA8kXnenoN8N+MetH8RDLb0lRHfBbcGcp+nCv2IaWxOsb48x+1yO+bBgqcIHGBaBaM1gQm+WCJ1KbsSC7O7Vl/g7ET0m4hs/JUQvNDIyxXPasQvQLSa/DRq/KW9r3IiLjHyYtZu8b14bknyv7nF7z41f82NxAloZ2RHDVkvvjuj8R+6FI4zrL90dGyYexuKvHCyboKMBP5zjQxWfrewaAQMl/FrGCI4LGVgNynWAjs3YnDSOqa7jLsSZXgqSmiOCPdtcUpztlmVDKlJqCZhr5Q==","691f8ca61c6b4dcbb0aeb5f4","691fc170bcce2eb9e29d131f","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:54:25
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc170bcce2eb9e29d131f","html-keyboard-response",7,299799,"0.0-307.0","YlX2xc5lL70X025cEs8SbPS9OYc2z80VY1LqwAumNltUCRzK/vKx0IZyA266//lfnA8kXnenoN8N+MetH8RDLb0lRHfBbcGcp+nCv2IaWxOsb48x+1yO+bBgqcIHGBaBaM1gQm+WCJ1KbsSC7O7Vl/g7ET0m4hs/JUQvNDIyxXPasQvQLSa/DRq/KW9r3IiLjHyYtZu8b14bknyv7nF7z41f82NxAloZ2RHDVkvvjuj8R+6FI4zrL90dGyYexuKvHCyboKMBP5zjQxWfrewaAQMl/FrGCI4LGVgNynWAjs3YnDSOqa7jLsSZXgqSmiOCPdtcUpztlmVDKlJqCZhr5Q==","691f8ca61c6b4dcbb0aeb5f4","691fc170bcce2eb9e29d131f","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:54:25
"89034.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc170bcce2eb9e29d131f","survey-html-form",8,388846,"0.0-308.0","YlX2xc5lL70X025cEs8SbPS9OYc2z80VY1LqwAumNltUCRzK/vKx0IZyA266//lfnA8kXnenoN8N+MetH8RDLb0lRHfBbcGcp+nCv2IaWxOsb48x+1yO+bBgqcIHGBaBaM1gQm+WCJ1KbsSC7O7Vl/g7ET0m4hs/JUQvNDIyxXPasQvQLSa/DRq/KW9r3IiLjHyYtZu8b14bknyv7nF7z41f82NxAloZ2RHDVkvvjuj8R+6FI4zrL90dGyYexuKvHCyboKMBP5zjQxWfrewaAQMl/FrGCI4LGVgNynWAjs3YnDSOqa7jLsSZXgqSmiOCPdtcUpztlmVDKlJqCZhr5Q==","691f8ca61c6b4dcbb0aeb5f4","691fc170bcce2eb9e29d131f","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""4"",""box2"":""6"",""box4"":""80""}","",1,"round1_outcome",1,1,1,4,6,NA,80,0,1,10,4,6,NA,80,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:54:25
