"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"3630","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f91c2ff1e15d3aa95bc5e","external-html",0,3738,"0.0-0.0","PLd/LQeQMo9Zyjn/MFRgtmI5RflAiivrThZw7h1Hu8366OK0u/WYSzAUUOZk+NJBTM8Zlx8jgPUoZQMscSuWMEZgbRGbopo2g+8hPsgD4Dt7MyRbCcVi1rbN0NGgkWVuktdzzFlxdHBfELoL5izovjm5D5wdaq3myY0lZwaT66DpvXff6cCUb1lLOIPr6Ky+St8GO9Q4xC80IYVMCpmoo/EmPg7doyK3/rg0nbg6/Ee7VNDPK5ErCI+dxEWv/vUM89iPo7v8GvHjK/oNN2rDE4I6m70K3MIy1vFQZDSeOZfLG/ra5Mnv/fjlSaxLuR+ovZxqh19M83lFUCYR0asYOg==","691f8ca61c6b4dcbb0aeb5f4","691f91c2ff1e15d3aa95bc5e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:57:32
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f91c2ff1e15d3aa95bc5e","fullscreen",1,7640,"0.0-1.0","PLd/LQeQMo9Zyjn/MFRgtmI5RflAiivrThZw7h1Hu8366OK0u/WYSzAUUOZk+NJBTM8Zlx8jgPUoZQMscSuWMEZgbRGbopo2g+8hPsgD4Dt7MyRbCcVi1rbN0NGgkWVuktdzzFlxdHBfELoL5izovjm5D5wdaq3myY0lZwaT66DpvXff6cCUb1lLOIPr6Ky+St8GO9Q4xC80IYVMCpmoo/EmPg7doyK3/rg0nbg6/Ee7VNDPK5ErCI+dxEWv/vUM89iPo7v8GvHjK/oNN2rDE4I6m70K3MIy1vFQZDSeOZfLG/ra5Mnv/fjlSaxLuR+ovZxqh19M83lFUCYR0asYOg==","691f8ca61c6b4dcbb0aeb5f4","691f91c2ff1e15d3aa95bc5e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:57:32
"656216","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f91c2ff1e15d3aa95bc5e","instructions",2,663857,"0.0-2.0","PLd/LQeQMo9Zyjn/MFRgtmI5RflAiivrThZw7h1Hu8366OK0u/WYSzAUUOZk+NJBTM8Zlx8jgPUoZQMscSuWMEZgbRGbopo2g+8hPsgD4Dt7MyRbCcVi1rbN0NGgkWVuktdzzFlxdHBfELoL5izovjm5D5wdaq3myY0lZwaT66DpvXff6cCUb1lLOIPr6Ky+St8GO9Q4xC80IYVMCpmoo/EmPg7doyK3/rg0nbg6/Ee7VNDPK5ErCI+dxEWv/vUM89iPo7v8GvHjK/oNN2rDE4I6m70K3MIy1vFQZDSeOZfLG/ra5Mnv/fjlSaxLuR+ovZxqh19M83lFUCYR0asYOg==","691f8ca61c6b4dcbb0aeb5f4","691f91c2ff1e15d3aa95bc5e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":3644},{""page_index"":1,""viewing_time"":2973},{""page_index"":2,""viewing_time"":518},{""page_index"":3,""viewing_time"":8019},{""page_index"":4,""viewing_time"":2384},{""page_index"":5,""viewing_time"":2122},{""page_index"":6,""viewing_time"":5675},{""page_index"":5,""viewing_time"":1619},{""page_index"":4,""viewing_time"":239},{""page_index"":3,""viewing_time"":1037},{""page_index"":2,""viewing_time"":1100},{""page_index"":1,""viewing_time"":1503},{""page_index"":0,""viewing_time"":490554},{""page_index"":1,""viewing_time"":6375},{""page_index"":2,""viewing_time"":105887},{""page_index"":3,""viewing_time"":4674},{""page_index"":4,""viewing_time"":6853},{""page_index"":5,""viewing_time"":6931},{""page_index"":6,""viewing_time"":4109}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:57:32
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f91c2ff1e15d3aa95bc5e","html-keyboard-response",3,664865,"0.0-3.0","PLd/LQeQMo9Zyjn/MFRgtmI5RflAiivrThZw7h1Hu8366OK0u/WYSzAUUOZk+NJBTM8Zlx8jgPUoZQMscSuWMEZgbRGbopo2g+8hPsgD4Dt7MyRbCcVi1rbN0NGgkWVuktdzzFlxdHBfELoL5izovjm5D5wdaq3myY0lZwaT66DpvXff6cCUb1lLOIPr6Ky+St8GO9Q4xC80IYVMCpmoo/EmPg7doyK3/rg0nbg6/Ee7VNDPK5ErCI+dxEWv/vUM89iPo7v8GvHjK/oNN2rDE4I6m70K3MIy1vFQZDSeOZfLG/ra5Mnv/fjlSaxLuR+ovZxqh19M83lFUCYR0asYOg==","691f8ca61c6b4dcbb0aeb5f4","691f91c2ff1e15d3aa95bc5e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:57:32
"89220","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f91c2ff1e15d3aa95bc5e","survey-multi-choice",4,754086,"0.0-4.0","PLd/LQeQMo9Zyjn/MFRgtmI5RflAiivrThZw7h1Hu8366OK0u/WYSzAUUOZk+NJBTM8Zlx8jgPUoZQMscSuWMEZgbRGbopo2g+8hPsgD4Dt7MyRbCcVi1rbN0NGgkWVuktdzzFlxdHBfELoL5izovjm5D5wdaq3myY0lZwaT66DpvXff6cCUb1lLOIPr6Ky+St8GO9Q4xC80IYVMCpmoo/EmPg7doyK3/rg0nbg6/Ee7VNDPK5ErCI+dxEWv/vUM89iPo7v8GvHjK/oNN2rDE4I6m70K3MIy1vFQZDSeOZfLG/ra5Mnv/fjlSaxLuR+ovZxqh19M83lFUCYR0asYOg==","691f8ca61c6b4dcbb0aeb5f4","691f91c2ff1e15d3aa95bc5e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:57:32
"3055","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f91c2ff1e15d3aa95bc5e","html-button-response",5,757142,"0.0-5.0-1.0","PLd/LQeQMo9Zyjn/MFRgtmI5RflAiivrThZw7h1Hu8366OK0u/WYSzAUUOZk+NJBTM8Zlx8jgPUoZQMscSuWMEZgbRGbopo2g+8hPsgD4Dt7MyRbCcVi1rbN0NGgkWVuktdzzFlxdHBfELoL5izovjm5D5wdaq3myY0lZwaT66DpvXff6cCUb1lLOIPr6Ky+St8GO9Q4xC80IYVMCpmoo/EmPg7doyK3/rg0nbg6/Ee7VNDPK5ErCI+dxEWv/vUM89iPo7v8GvHjK/oNN2rDE4I6m70K3MIy1vFQZDSeOZfLG/ra5Mnv/fjlSaxLuR+ovZxqh19M83lFUCYR0asYOg==","691f8ca61c6b4dcbb0aeb5f4","691f91c2ff1e15d3aa95bc5e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:57:32
"161674","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f91c2ff1e15d3aa95bc5e","survey-multi-choice",6,918818,"0.0-7.0-0.0","PLd/LQeQMo9Zyjn/MFRgtmI5RflAiivrThZw7h1Hu8366OK0u/WYSzAUUOZk+NJBTM8Zlx8jgPUoZQMscSuWMEZgbRGbopo2g+8hPsgD4Dt7MyRbCcVi1rbN0NGgkWVuktdzzFlxdHBfELoL5izovjm5D5wdaq3myY0lZwaT66DpvXff6cCUb1lLOIPr6Ky+St8GO9Q4xC80IYVMCpmoo/EmPg7doyK3/rg0nbg6/Ee7VNDPK5ErCI+dxEWv/vUM89iPo7v8GvHjK/oNN2rDE4I6m70K3MIy1vFQZDSeOZfLG/ra5Mnv/fjlSaxLuR+ovZxqh19M83lFUCYR0asYOg==","691f8ca61c6b4dcbb0aeb5f4","691f91c2ff1e15d3aa95bc5e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:57:32
"5385","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f91c2ff1e15d3aa95bc5e","instructions",7,924205,"0.0-305.0","PLd/LQeQMo9Zyjn/MFRgtmI5RflAiivrThZw7h1Hu8366OK0u/WYSzAUUOZk+NJBTM8Zlx8jgPUoZQMscSuWMEZgbRGbopo2g+8hPsgD4Dt7MyRbCcVi1rbN0NGgkWVuktdzzFlxdHBfELoL5izovjm5D5wdaq3myY0lZwaT66DpvXff6cCUb1lLOIPr6Ky+St8GO9Q4xC80IYVMCpmoo/EmPg7doyK3/rg0nbg6/Ee7VNDPK5ErCI+dxEWv/vUM89iPo7v8GvHjK/oNN2rDE4I6m70K3MIy1vFQZDSeOZfLG/ra5Mnv/fjlSaxLuR+ovZxqh19M83lFUCYR0asYOg==","691f8ca61c6b4dcbb0aeb5f4","691f91c2ff1e15d3aa95bc5e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":2509},{""page_index"":1,""viewing_time"":2876}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:57:32
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f91c2ff1e15d3aa95bc5e","html-keyboard-response",8,925221,"0.0-306.0","PLd/LQeQMo9Zyjn/MFRgtmI5RflAiivrThZw7h1Hu8366OK0u/WYSzAUUOZk+NJBTM8Zlx8jgPUoZQMscSuWMEZgbRGbopo2g+8hPsgD4Dt7MyRbCcVi1rbN0NGgkWVuktdzzFlxdHBfELoL5izovjm5D5wdaq3myY0lZwaT66DpvXff6cCUb1lLOIPr6Ky+St8GO9Q4xC80IYVMCpmoo/EmPg7doyK3/rg0nbg6/Ee7VNDPK5ErCI+dxEWv/vUM89iPo7v8GvHjK/oNN2rDE4I6m70K3MIy1vFQZDSeOZfLG/ra5Mnv/fjlSaxLuR+ovZxqh19M83lFUCYR0asYOg==","691f8ca61c6b4dcbb0aeb5f4","691f91c2ff1e15d3aa95bc5e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:57:32
