"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"82540.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb864ca03c05a1c360eb9","external-html",0,82601,"0.0-0.0","jQbOqBtMvLb1Qpnc2S+JRdQ30jtCnBerP+QTnzvBB9A2WKR49zQGbargoUk+dK+Eng1SEo1ebN4MnWQxegcp2Ep+3//SX/fqoTIPMmLA8U+ONkbD5ETvE49pQU9zNExpatn+z5q6zHUBW/y11J6ZCgwDi2HttFDPAQXaIl0zB0BW7sYQm8ttuN16oDCh0uGlch9pRJTYbkAWQ56xg/9KIq6MOtPiQV+qFMIWQuZ+jgQNhzTOelMUQKTFY/qCzlrJ5jpDlHqLFhZJgLk5NTY+rZitrulTwA4d341+xy5AfZfqx/Tn6XhcnZE1b6BvR1nEtS26Rj0S2jYS/aOEG5s3Dg==","691f8ca61c6b4dcbb0aeb5f4","691fb864ca03c05a1c360eb9","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:05:07
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb864ca03c05a1c360eb9","fullscreen",1,88253,"0.0-1.0","jQbOqBtMvLb1Qpnc2S+JRdQ30jtCnBerP+QTnzvBB9A2WKR49zQGbargoUk+dK+Eng1SEo1ebN4MnWQxegcp2Ep+3//SX/fqoTIPMmLA8U+ONkbD5ETvE49pQU9zNExpatn+z5q6zHUBW/y11J6ZCgwDi2HttFDPAQXaIl0zB0BW7sYQm8ttuN16oDCh0uGlch9pRJTYbkAWQ56xg/9KIq6MOtPiQV+qFMIWQuZ+jgQNhzTOelMUQKTFY/qCzlrJ5jpDlHqLFhZJgLk5NTY+rZitrulTwA4d341+xy5AfZfqx/Tn6XhcnZE1b6BvR1nEtS26Rj0S2jYS/aOEG5s3Dg==","691f8ca61c6b4dcbb0aeb5f4","691fb864ca03c05a1c360eb9","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:05:07
"102700.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb864ca03c05a1c360eb9","instructions",2,190956,"0.0-2.0","jQbOqBtMvLb1Qpnc2S+JRdQ30jtCnBerP+QTnzvBB9A2WKR49zQGbargoUk+dK+Eng1SEo1ebN4MnWQxegcp2Ep+3//SX/fqoTIPMmLA8U+ONkbD5ETvE49pQU9zNExpatn+z5q6zHUBW/y11J6ZCgwDi2HttFDPAQXaIl0zB0BW7sYQm8ttuN16oDCh0uGlch9pRJTYbkAWQ56xg/9KIq6MOtPiQV+qFMIWQuZ+jgQNhzTOelMUQKTFY/qCzlrJ5jpDlHqLFhZJgLk5NTY+rZitrulTwA4d341+xy5AfZfqx/Tn6XhcnZE1b6BvR1nEtS26Rj0S2jYS/aOEG5s3Dg==","691f8ca61c6b4dcbb0aeb5f4","691fb864ca03c05a1c360eb9","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":19545},{""page_index"":1,""viewing_time"":17839.899999976158},{""page_index"":2,""viewing_time"":11067.800000011921},{""page_index"":3,""viewing_time"":18850.19999998808},{""page_index"":4,""viewing_time"":12542.699999988079},{""page_index"":5,""viewing_time"":15339.300000011921},{""page_index"":6,""viewing_time"":7515.5}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:05:07
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb864ca03c05a1c360eb9","html-keyboard-response",3,191958,"0.0-3.0","jQbOqBtMvLb1Qpnc2S+JRdQ30jtCnBerP+QTnzvBB9A2WKR49zQGbargoUk+dK+Eng1SEo1ebN4MnWQxegcp2Ep+3//SX/fqoTIPMmLA8U+ONkbD5ETvE49pQU9zNExpatn+z5q6zHUBW/y11J6ZCgwDi2HttFDPAQXaIl0zB0BW7sYQm8ttuN16oDCh0uGlch9pRJTYbkAWQ56xg/9KIq6MOtPiQV+qFMIWQuZ+jgQNhzTOelMUQKTFY/qCzlrJ5jpDlHqLFhZJgLk5NTY+rZitrulTwA4d341+xy5AfZfqx/Tn6XhcnZE1b6BvR1nEtS26Rj0S2jYS/aOEG5s3Dg==","691f8ca61c6b4dcbb0aeb5f4","691fb864ca03c05a1c360eb9","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:05:07
"34149.30000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb864ca03c05a1c360eb9","survey-multi-choice",4,226108,"0.0-4.0","jQbOqBtMvLb1Qpnc2S+JRdQ30jtCnBerP+QTnzvBB9A2WKR49zQGbargoUk+dK+Eng1SEo1ebN4MnWQxegcp2Ep+3//SX/fqoTIPMmLA8U+ONkbD5ETvE49pQU9zNExpatn+z5q6zHUBW/y11J6ZCgwDi2HttFDPAQXaIl0zB0BW7sYQm8ttuN16oDCh0uGlch9pRJTYbkAWQ56xg/9KIq6MOtPiQV+qFMIWQuZ+jgQNhzTOelMUQKTFY/qCzlrJ5jpDlHqLFhZJgLk5NTY+rZitrulTwA4d341+xy5AfZfqx/Tn6XhcnZE1b6BvR1nEtS26Rj0S2jYS/aOEG5s3Dg==","691f8ca61c6b4dcbb0aeb5f4","691fb864ca03c05a1c360eb9","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:05:07
"12775.899999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb864ca03c05a1c360eb9","instructions",5,238887,"0.0-305.0","jQbOqBtMvLb1Qpnc2S+JRdQ30jtCnBerP+QTnzvBB9A2WKR49zQGbargoUk+dK+Eng1SEo1ebN4MnWQxegcp2Ep+3//SX/fqoTIPMmLA8U+ONkbD5ETvE49pQU9zNExpatn+z5q6zHUBW/y11J6ZCgwDi2HttFDPAQXaIl0zB0BW7sYQm8ttuN16oDCh0uGlch9pRJTYbkAWQ56xg/9KIq6MOtPiQV+qFMIWQuZ+jgQNhzTOelMUQKTFY/qCzlrJ5jpDlHqLFhZJgLk5NTY+rZitrulTwA4d341+xy5AfZfqx/Tn6XhcnZE1b6BvR1nEtS26Rj0S2jYS/aOEG5s3Dg==","691f8ca61c6b4dcbb0aeb5f4","691fb864ca03c05a1c360eb9","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":7877.800000011921},{""page_index"":1,""viewing_time"":4898}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:05:07
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb864ca03c05a1c360eb9","html-keyboard-response",6,239901,"0.0-306.0","jQbOqBtMvLb1Qpnc2S+JRdQ30jtCnBerP+QTnzvBB9A2WKR49zQGbargoUk+dK+Eng1SEo1ebN4MnWQxegcp2Ep+3//SX/fqoTIPMmLA8U+ONkbD5ETvE49pQU9zNExpatn+z5q6zHUBW/y11J6ZCgwDi2HttFDPAQXaIl0zB0BW7sYQm8ttuN16oDCh0uGlch9pRJTYbkAWQ56xg/9KIq6MOtPiQV+qFMIWQuZ+jgQNhzTOelMUQKTFY/qCzlrJ5jpDlHqLFhZJgLk5NTY+rZitrulTwA4d341+xy5AfZfqx/Tn6XhcnZE1b6BvR1nEtS26Rj0S2jYS/aOEG5s3Dg==","691f8ca61c6b4dcbb0aeb5f4","691fb864ca03c05a1c360eb9","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:05:07
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb864ca03c05a1c360eb9","html-keyboard-response",7,242910,"0.0-307.0","jQbOqBtMvLb1Qpnc2S+JRdQ30jtCnBerP+QTnzvBB9A2WKR49zQGbargoUk+dK+Eng1SEo1ebN4MnWQxegcp2Ep+3//SX/fqoTIPMmLA8U+ONkbD5ETvE49pQU9zNExpatn+z5q6zHUBW/y11J6ZCgwDi2HttFDPAQXaIl0zB0BW7sYQm8ttuN16oDCh0uGlch9pRJTYbkAWQ56xg/9KIq6MOtPiQV+qFMIWQuZ+jgQNhzTOelMUQKTFY/qCzlrJ5jpDlHqLFhZJgLk5NTY+rZitrulTwA4d341+xy5AfZfqx/Tn6XhcnZE1b6BvR1nEtS26Rj0S2jYS/aOEG5s3Dg==","691f8ca61c6b4dcbb0aeb5f4","691fb864ca03c05a1c360eb9","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:05:07
